Date,MSCI_World,MSCI_EM
2010-02-17,1543.1503,27.9747
2010-02-18,1558.1228,28.0807
2010-02-19,1580.0818,27.8404
2010-02-22,1574.0928,27.8757
2010-02-23,1563.1134,27.2324
2010-02-24,1568.1045,27.4939
2010-02-25,1561.1171,27.2677
2010-02-26,1585.0729,27.5434
2010-03-01,1624.0007,28.0100
2010-03-02,1648.9548,28.3282
2010-03-03,1642.9651,28.3635
2010-03-04,1638.9734,28.2151
2010-03-05,1650.9513,28.9503
2010-03-08,1664.9252,28.9715
2010-03-09,1673.9088,29.1341
2010-03-10,1685.8867,29.3391
2010-03-11,1674.9069,29.3462
2010-03-12,1668.9176,29.2472
2010-03-15,1672.9102,29.0351
2010-03-16,1678.8994,29.4098
2010-03-17,1680.8958,29.7280
2010-03-18,1677.9012,29.5017
2010-03-19,1695.8680,29.1200
2010-03-22,1688.8810,29.2260
2010-03-23,1699.8606,29.4310
2010-03-24,1713.8348,28.9927
2010-03-25,1723.8167,28.9150
2010-03-26,1715.8311,29.0564
2010-03-29,1717.8279,29.5795
2010-03-30,1699.8606,29.6926
2010-03-31,1691.8759,29.7775
2010-04-01,1700.8586,30.5551
2010-04-06,1713.8348,30.9227
2010-04-07,1707.8461,30.6541
2010-04-08,1692.8738,30.7601
2010-04-09,1703.8535,30.9510
2010-04-12,1712.8367,30.7036
2010-04-13,1704.8512,30.6399
2010-04-14,1712.8367,31.0924
2010-04-15,1716.8293,30.9227
2010-04-16,1694.8699,30.0178
2010-04-19,1698.8629,29.8976
2010-04-20,1713.8348,30.2511
2010-04-21,1701.8573,30.1521
2010-04-22,1684.8883,30.2794
2010-04-23,1701.8573,30.4420
2010-04-26,1706.8474,30.4420
2010-04-27,1683.8904,29.3533
2010-04-28,1672.9102,29.6007
2010-04-29,1695.8680,30.0885
2010-04-30,1685.8867,29.7280
2010-05-04,1650.9513,28.5191
2010-05-05,1635.9786,28.0030
2010-05-06,1625.9968,26.8577
2010-05-07,1598.0486,26.9991
2010-05-10,1650.9513,28.9432
2010-05-11,1654.9437,28.4201
2010-05-12,1672.9102,28.7736
2010-05-13,1693.8717,28.5049
2010-05-14,1648.9548,27.9181
2010-05-17,1650.9513,27.7485
2010-05-18,1673.9088,27.1687
2010-05-19,1627.9934,26.9072
2010-05-20,1607.0322,25.5710
2010-05-21,1593.0580,26.3981
2010-05-24,1596.0527,26.1224
2010-05-25,1557.1237,25.8396
2010-05-26,1572.0970,25.8255
2010-05-27,1593.0580,27.3879
2010-05-28,1603.0397,26.9354
2010-06-01,1571.0981,26.4406
2010-06-02,1568.1045,27.3667
